Code name,Actual name,Description
tile.blockTeleporter.*.1,Teleporter,"Teleporters are highly-complex, super-modern pieces of extremely-hayoish-awesome technology, capable of teleporting an infinite number of objects, excluding solid matter in form of blocks, to another Teleporter.  Two teleporters must be linked together with a FreqTrans to function.  They are among the most power-hungry machines available, and it is recommended to place energy storage devices directly adjacent to them for the teleporter to draw from, rather than powering them via cable."
tile.blockTesla.*.1,Tesla Coil,"How do you defend your well-terraformed, expensive industrial landscape from pesky animals/creepers/weirdos/thieves? Try a TESLA COIL!  A Tesla Coil, already used by the Soviets to defend against the combined Allied army in the second altered-realm World War, is highly effective, medium-ranged and absolutely deadly. When switched on via redstone and supplied with adequate power, it will zap any living creature nearby with a lethal energy bolt.  Maximum Input: 128 EU/t"
tile.blockBatBox.*.1,Batbox,"The BatBox is the most basic energy storage device. It is able to store up to forty thousand EU, and can accept currents of up to 32 EU/s from any of its 5 input faces. It can also emit a current of up to 32 EU/s from its output face."
tile.blockMFE.*.1,MFE,"The Multi-Functional Electric storage unit, or MFE, is a Tier 2 energy storage device. It is able to store up to 600,000 EU, and can accept a maximum current of 128 EU/s from all 5 input faces combined. It can also emit a current of up to 128 EU/s from its output face."
tile.blockMFSU.*.1,MFSU,"The Multi-Functional Storage Unit, or MFSU, is a Tier 3 energy storage device. It is able to store up to 10 million EU, and can accept a maximum current of 512 EU/t from each of the 5 input faces. It can also emit a current of 512 EU/t from its output face (the face with a dot)."
tile.blockTransformerLV.*.1,LV-Transformer,The Low Voltage Transformer is used to turn Medium Voltage (MV) EU current into Low Voltage (LV) and back. This is useful for powering basic machines.
tile.blockTransformerMV.*.1,MV-Transformer,The Medium Voltage Transformer is used to turn High Voltage (HV) EU current into Medium Voltage (MV) and back. This is useful for powering advanced machines and for medium-range energy transport.
tile.blockTransformerHV.*.1,HV-Transformer,The High Voltage Transformer is used to turn Extreme Voltage (EV) EU current into High Voltage (HV) and back. This transformation is useful for carrying EU over extreme distances without significant losses.
tile.blockGeoGenerator.*.1,Geothermal Generator,"A Geothermal Generator works on the same basic principle as normal Generators do. Geothermal generators use the heat of Lava to generate electricity and accept both lava buckets and lava cells as fuel, making them ideal for portable power when exploring underground.
Output: 20 EU/t."
tile.blockWaterGenerator.*.1,Water Mill,"The Water Mill produces EU by either having a Water Bucket placed in its lower slot, or being surrounded by running or still water.
Maximum output:  2 EU/t."
tile.blockSolarGenerator.*.1,Solar Panel,"Solar Panels are generators that utilize the energy of the Sun to generate EU. This fact means that they cannot work underground (unless there is an unobstructed view of the sky) or in the Nether. They also don't work at night or during storms.
Outputs 1 EU/t (13050 EU/day)."
tile.blockWindGenerator.*.1,Wind Mill,"Wind Mills are Generators that utilize the energy of the wind to produce EU. They are the most unstable and unpredictable type of generators, depending greatly upon both placement and pure luck."
tile.blockNuclearReactor.*.1,Nuclear Reactor,"The Nuclear Reactor is the most powerful EU generator in existance. They're fueled by Uranium cells and can easily overheat and explode unless Coolant Cells, Intergrated Reactor Plating and/or Integrated Heat Dispersers are put inside. Use with caution!  They can be expanded to have a greater holding capacity by attaching Reactor Chambers.  "
tile.blockReactorChamber.*.1,Reactor Chamber,The Reactor Chamber's purpose is to expand the Nuclear Reactor. It allows it to process more Uranium.

Cables

item.itemTinCable.*.1,Ultra-low-current-cable,"Tin cables can only tolerate up to 5 EU/t, but are very cheap and have extremely low energy loss. In fact, only 1 EU is lost every 40 blocks—the same loss as diamond wire. However, keep in mind that energy loss is calculated per EU packet, so tin cables actually lose over 100x more energy when carrying the same total EU. These wires cannot be insulated, so they cannot be painted. They are also prone to electrocuting nearby objects, so be careful."
item.itemCableO.*.1,Uninsulated Copper Cable,"Copper cables are Tier 1, the most common cable tier. They are only capable of handling Low Voltage (up to 32 EU/t); however, they suffer the smallest distance-related energy losses out of all the conventional cables (~1 EU every 3.33 blocks), with insulated copper cables having even less energy loss."
item.itemCable.*.1,Copper Cable,"They're just about the same as the normal version, but are safer and suffer less distance-related energy loss. (1 EU every 5 blocks)"
itemGoldCable.2.1,Gold Cable,"Gold cables are Tier 2. They suffer higher distance-related energy losses than copper cables (1 EU every 2 blocks), but are able to carry Medium Voltage, up to 128 EU/s."
item.itemGoldCableI.*.1,Insulated Gold Cable,Pretty much the same as the normal version but safer and suffer less distance-related energy loss. (~1 EU every 2.22 blocks)
item.itemGoldCableII.*.1,2x Ins. Insulated Gold Cable,"They're almost the same as 1x version. However, they're more effective because they have even less energy loss, at 1 EU every 2.5 blocks."
item.itemIronCable.*.1,HV Cable,"HV cables are the highest tier conventional cables. They can tolerate High Voltage (512 EU/s) and Extreme Voltage (2048 EU/s), but have an extremely high distance-related energy loss—1 EU every block! HV cables can have 3 different levels of insulation. Considering that a shock from a poorly insulated HV cable will most likely prove fatal, it is recommended to insulate them well unless the cable is located in a completely unreachable area. Even then, insulation should be applied to reduce the massive energy losses."
item.itemIronCableI.*.1,Insulated HV Cable,Insulted HV Cable is much safer than the uninsulated version and suffers less distance-related energy loss. (~1 EU every 1.05 blocks) The insulation level on this cable is the lowest that it can be.
item.itemIronCableII.*.1,2x Ins. Insulated HV Cable,"Twice the insulation as the base cable, these are functionally the same as the 1x version, but are more effecient because they have slightly less energy loss. (~1 EU every 1.11 blocks)"
item.itemIronCableIIII.*.1,4x Ins. Insulated HV Cable,"Four times the insulation of the base cable, these are functionally the same as the 1x version but more effecient because they have less energy loss. (1 EU every 1.25 blocks)"
item.itemGlassCable.*.1,Glass Fibre Cable,"The most expensive, and the most efficient cable type, Glass Fibres suffer very little distance-related energy loss. They tolerate currents up to High Voltage (512 EU/s). Due to latest quality standards of Glass fiber cables only the highest quality materials can be utilized, resulting in reduced cable lengths from the same materials.  Energy loss is 1 EU every 40 blocks."
item.itemCable.11.1,EU Detector Cable,"The Detector Cable is a special cable which outputs a redstone current when EU is flowing through it. With a storage block nearby, it can be used to detect overflow. Able to handle EU Packets up to 512 with energy loss 0.025 per block."
item.itemCable.12.1,EU Splitter Cable,The Splitter Cable is a special cable which prevents EU from flowing through it when a redstone current is applied. Will accept only direct redstone current. Handle EU Packets up to 512 with 0.025 loss per block.

Misc. Blocks

tile.blockNuke.*.1,Nuke,TNT not enough for you? Then this is for you. Made from Refined Uranium and piled with massive power. Beware of radiation!  Nukes are 5 times as effective as TNT.
tile.blockITNT.*.1,Industrial TNT,"Did anyone yet notice that mining can be grey, plain and boring, even with a Mining Drill? Now, of course it is, because it's still hard work and a hell of a lot of stone to mine through. Some people claim TNT-mining to be far more fun; and for sure it is. On the downside however, using TNT to mine stuff reduces your overall mineral gain by 70% due to explosion casualties, not to mention the extreme danger of working with explosives... For this sole reason, we invented industrial TNT.

Splitting up the charges and adding some nice cutting material results in the explosion caused by our patented ITNT to be much more useful: It has less direct power, which means no more accidental suicides or destroyed ore. "
tile.blockAlloy.*.1,Reinforced Stone,"The combination of Stone and the Advanced Alloy yields Reinforced Stone.  This material is explosion resistant, and is a good choice for building a Creeper/TNT safe bunker.  Reinforced Stone can even withstand a nuclear explosion, if you build a wall at least 4 blocks thick. It can also be used to craft the Reinforced Door."
tile.blockAlloyGlass.*.1,Reinforced Glass,"You can use Alloy plates to reinforce glass.  Sure, it's still glass and thus not completely unbreakable, but at least your entire glass house won't blow up in an instant."
tile.blockRubWood.*.1,Rubber wood,"Rubber Wood is the component of Rubber Trees. It can be extracted into 1 Rubber. Sometimes, Rubber Wood blocks have a yellowish Resin Hole. Right clicking this spot with a Treetap will produce 1-3 Sticky Resin, which can be smelted into 1 Rubber each in any furnace or extracted in an Extractor into 3 Rubber.

Be aware that right clicking an empty (dark) Resin Hole may produce extra Resin, but is very likely to permanently remove the Resin Hole. Therefore, it is advised to be careful when extracting Resin."
tile.blockRubSapling.*.1,Rubber Tree Sapling,The sapling of the rubber tree.
tile.blockRubber.*.1,Rubber sheet,A plain sheet of rubber that smells like old tires.
tile.blockLuminator.*.1,Luminator,Luminator lights up are when 0.25 EU are applied into it.
tile.blockFoam.*.1,Construction Foam,"Can be used with a CF Sprayer for distribution. Try surrounding an area with scaffolding and shooting some construction foam into it to create walls or various shapes. The foam will expand into several blocks and eventually dry into a hard material. Excellent for building foundations and city walls. Presents interesting opportunities to both drown and suffocate if used incorrectly. ""Wet"" blocks can now be instantly dried by applying sand!"
tile.blockScaffold.*.1,Scaffold,"Scaffolds are easy to place construction helpers that are usually used to construct frames for filling with Construction Foam.  Though they are slightly unstable and need support by other scaffolds below, they are easy to set up / demolish AND even act as ladders for reaching the building's top easily."
tile.blockCable.*.1,Cable the Block,(BLOCK VERSION OF CABLE)
tile.blockPersonalChest.*.1,Personal Safe,"Tired of griefers and thieves stealing your stuff? Then use the personal safe!  Once placed and first rightclicked by yourself, only you can open it or destroy it."
tile.blockPersonalTrader.*.1,Trade-o-mat,Trading station that accepts Industrial Credits as currency.
tile.blockFenceIron.*.1,Iron Fence,"The Iron Fence can serve as a normal fence, but its primary function is to replace the function of ladders. Iron Fences can be stacked on top of one another, and if a player approaches the resulting pole while holding the Crouch button, he will quickly slide down the pole, much faster than down a ladder, though still not fast enough to receive fall damage upon touching the ground.

Furthermore, if powered by a Magnetizer, the Iron Fence can serve as a type of elevator, quickly propelling upwards any players with metal shoes equipped who approach it."
,Rubber Trampoline,"The rubber trampoline is a highly advanced piece of rubber capable of doing one amazing thing: Bouncing you!  Jumping off of a height onto this rubberized sheet will cause you to bounce back up, effectivly negating fall damage while having fun!

Be warned, the rubber sheet will not prevent injury from a very high fall! (approximately 11 blocks.)

The rubber trampoline must be connected on at least 2 sides to blocks on the same level as it, and must have a gap underneath, similar to a real trampoline."
Items,,"Be warned, the rubber sheet will not prevent injury from a very high fall(approximately 11 blocks)!"
,,"The rubber trampoline must be connected on at least 2 sides to blocks on the same level as it, and must have a gap underneath, similar to a real trampoline."
item.itemBatRE.*.1,RE Battery,"Rechargeable battery.  If you hold a battery and right click, it will re-energize tools such as chainsaws and drills that might have run low on power."
item.itemBatCrystal.*.1,Energy Crystal,"These neat little pieces of future technology are the commonly used energy storage device for all REALLY Advanced Machines.  Yes, it can even get more advanced than the Macerator!

However, newly created Energy Crystals do not contain energy, at all. None. Zero. Being so super-awesome and advanced, before used, they must first be charged in either an MFE Unit or MFS Unit. HAYO!!"
item.itemBatLamaCrystal.*.1,Lapotron Crystal,"By combining the Lapis Lazuli's Current-Storage abilities with an Energy Crystal, one can create a device capable of storing ONE MILLION EU.  However, as most devices are incapable of handling this power, only an MFSU can (dis)charge these crystals."
item.itemBatREDischarged.*.1,Discharged RE Battery,"Of course we don't want to bore you with some random details of the T500-Rechargeable Energy Storage Unit, so we'll just tell you this:

If one piece of coal would store 3000 units of power, our RE Battery's power level would be OVER NINE-THOUSAND! Take that, Vegeta! One lil' battery can smelt your entire everything to something else!

Ah, and we didn't mention the big feature of our beloved little gadget yet: It's fully rechargeable and completely indestructible. We're serious. You can use it as often as you like, it will never break of material exhaustion!"
item.itemBatSU.*.1,Single Use Battery,"Also known as the T501-Non-Rechargeable Energy Storage Unit, each Single-Use Battery can store up to 1000 EU. That's 9000 EU less than their rechargeable counterparts... and you can't recharge them. However, they are much easier to produce in quantities and are easier to transport."
item.itemCellEmpty.*.1,Empty Cell,"Empty cells can be used to store Lava, Uranium, Water and much more."
item.itemCellLava.*.1,Lava Cell,Cell filled with lava. Used for fuel in geothermal generator.
item.itemCellWater.*.1,Water Cell,Cell filled with water. Compress into Coolant cell or Electrolylze into Electrolyzed Water Cell.
item.itemCellCoolant.*.1,Coolant Cell,Coolant Cell is used for coolant in Nuclear reactor. Place the cell around the Uranium Cell for coolant.
item.itemCellWaterElectro.*.1,Electrolyzed Water Cell,Water Cell that is Electrolyzed. Do not touch without a rubber glove!
item.itemCellUran.*.1,Uranium Cell,Cell filled with uranium. They're what you use in Nuclear Reactor.
item.itemCellBio.*.1,Bio Cell,"Bio Cells are crafted with Compressed Plants and can be extracted to Biofuel Cells, which can later be used to fill Empty Fuel Cans."
item.itemCellUranDepleted.*.1,Depleted Isotope Cell,"The Depleted Isotope Cell is obtained by combining a Near-Depleted Uranium Cell with Coal Dust. After this, it can be enriched in a Nuclear Reactor to create a Re-Enriched Uranium Cell. Enriching is performed by surrounding the Depleted Isotope Cell with one or more Uranium Cells. This will cause the uranium cells to pulse an additional time. This pulse will recharge the isotope, producing heat but no EU."
item.itemCellUranEnriched.*.1,Re-Enriched Uranium Cell,"Re-Enriched Uranium Cells are the result of enriching a Depleted Isotope Cell in a Breeder type Nuclear Reactor. After enrichment, it can be combined with Coal Dust to create a brand new Uranium Cell."
item.itemCellUranEmpty.*.1,Near-depleted Uranium Cell,"The Near-Depleted Uranium Cell is rarely produced when Uranium Cells decay in the Nuclear Reactor. It can be enriched to produce a Re-Enriched Uranium Cell. Another way to obtain the Near-Depleted Uranium Cells is to evenly distribute Refined Uranium between 8 Empty Cells. This way, it's possible to increase the energy yield of a single Uranium ingot up to 8-fold. The cell will produce one point of heat each reactor tick but will not interact with any of the adjacent components."
item.itemCellCoal.*.1,H. Coal Cell,A combination of an empty cell and a compressed hydrated coal clump. Used in an extractor to create coalfuel cells that can be used to fill empty energy cans.
item.itemCellCoalRef.*.1,Coalfuel Cell,A fully processed coal cell that can be used to refill empty fuel cans.
item.itemCellBioRef.*.1,Biofuel Cell,Biofuel Cells can be used with the Canning Machine to fill Empty Fuel Can.  The filled fuel cans can then be used in Generators to produce EU. 6 Biofuel Cells are required to fill an Empty Fuel Can.
item.itemToolWrench.*.1,Wrench,The Wrench allows you to rotate machines or quickly remove them.
item.itemTinCan.*.1,Tin Can,The Tin Can is used along with the Canning Machine to store food as a stack-able item.
item.itemTinCanFilled.*.1,(Filled) Tin Can,What delicious snack is contained within this super-high-tech Portable Feeding Unit 2050?  Only one way to find out...
item.itemHarz.*.1,Sticky Reisin,"Sticky Resin is the substance obtained by tapping Rubber Wood logs with a Treetap, and is rarely dropped when chopping Rubber Wood down.

Sticky Resin can either be smelted or extracted into Rubber (with the latter method producing more Rubber), or placed on the ground, where it acts similar to Soulsand and slows down all mobs and players."
item.itemToolDrill.*.1,Drill,Pickaxe not enough for you? Get the Drill! The ultimate tool for miners is here. If you got a few diamonds consider upgrading your Drill. The Drill does not break and it is also rechargeable. (Enchantability included!)
item.itemToolDDrill.*.1,Diamond Drill,Tired of your normal drill not being able to mine Obsidian? Well this tool is the one for you! Just a few pieces of diamond is enough for Obsidian smashing POWER!  The Drill does not break and it is rechargeable. (Enchantability included!)
item.itemToolChainsaw.*.1,Chainsaw,The Chainsaw is a Lumberjack's ultimate tool. It can also slay mobs without any worry. (Enchantability included!)
item.itemFuelCoalDust.*.1,Hydrated Coal Dust,"The Compressed Hydrated Coalclump can be obtained by first hydrating Coal Dust using Water buckets, and then compressing them.  It is used to manufacture Hydrated Coal Cells and, ultimately, the Coalfuel Cell."
item.itemFuelCoalCmpr.*.1,H. Coal,"The Compressed Hydrated Coalclump can be obtained by first hydrating Coal Dust using Water buckets, and then compressing them.  It is used to manufacture Hydrated Coal Cells and, ultimately, the Coalfuel Cell."
item.itemFuelPlantBall.*.1,Plantball,"The Plant ball is the first stage of a biological source of fuel that is created using tree saplings, sugar canes, cacti or wheat. The Plantball is placed in a Compressor, resulting in a Compressed Plantball."
item.itemFuelPlantCmpr.*.1,Compressed Plantball,The Compressed Plantball is the product of compressing a Plantball. One Compressed Plantball can be combined with an Empty Cell to create a Bio Cell.
item.itemScanner.*.1,OD Scanner,"The Ore Density Scanner. Uses 48 EU (out of 10k storage) to scan a 5x5 area around the player to determine how densely packed ores are beneath the player and outputs the ""density rating"" onto the screen. Used by right clicking. Can also be combined with a mining well to give it a 5x5 mining area. Can be upgraded into the more expensive and power-hungry OV Scanner."
item.itemScannerAdv.*.1,OV Scanner,"The Ore Value Scanner. Uses 250 EU (out of 10k storage) to scan the area beneath the player and determine not only how densely ores are packed, but how valuable the area is given what ores are located there. The more valuable the ores (diamond being the most valuable) the higher the value rating the scanner produces. Can also be combined with a mining well to increase its effective mining range to 9x9."
item.itemRubber.*.1,Rubber,Rubber is used for insulating cable.
item.itemDynamite.*.1,Dynamite,Got TNT? Turn it into Dynamite and throw it at a creeper!
item.itemDynamiteSticky.*.1,Sticky Dynamite,Turn your dynamite into explosives that stick to walls!  Must be thrown to function.
item.itemRemote.*.1,Dynamite-O-Mote,"The Dynamite-O-Mote (commonly called the Dynamite Remote) can be used to remotely detonate one or multiple Dynamite sticks. This is performed by right-clicking on the stick while holding the Remote. Note that right-clicking with the remote while aiming at a block will NOT detonate the Dynamite, however, right-clicking into the air will do so.

It is possible to have several different Remotes assigned to different sets of Dynamite sticks."
item.itemTreetap.*.1,Treetap,Treetaps are used for collecting sticky resin from Rubber Trees.
item.itemArmorRubBoots.*.1,Rubber Boots,"Ever had that problem where you'd fall off a cliff and DIE?

WELL NO MORE!!! Our researchers have recently discovered a NEW usage for Rubber and created Rubber Boots!  Enjoy jumping off of your house! Or getting into your mine without having to use those pesky ladders. It completely degates fall damage up to 10 blocks high!  Great in combination with the Jetpack."
item.itemArmorJetpack.*.1,Jetpack,"The Jetpack is an equippable tool that allows the player to fly for as long as the fuel in the Jetpack lasts. Flying is performed by holding down the jump key. It also has a Hover Mode, which can be toggled by pressing the H key. In Hover Mode, holding the jump key will make the player slowly descend, while releasing it will disable the Jetpack, hurling the player downwards at normal fall speed. In Hover Mode, the Jetpack uses less fuel.

A fully fuelled Jetpack will function for about 90 seconds. When the fuel gauge reaches about 5%, the Jetpack starts losing its power quickly. It can be completely refilled with either 18 Biofuel Cells or by 6 Coalfuel Cells in a Canning Machine."
item.itemArmorJetpackElectric.*.1,Electric Jetpack,"The Electric Jetpack is a simpler and easily recharged version of the conventional Jetpack. Flying is performed by holding down the jump key. Unlike the normal Jetpack, the Electric Jetpack is limited to a maximum flying height of 85 meters (blocks) above the bedrock layer.  It also has a Hover Mode, which can be toggled by pressing the H key while in use.  In Hover Mode, holding the jump key will make the player ascend slowly, and the jetpack will automatically slow the player's fall to a similar speed. This feature makes the Electric Jetpack better than the normal Jetpack, as the Hover Mode for the normal Jetpack only has the first feature. Plus, Hover Mode uses less energy!

It can be recharged in an MFE Transmitter or an MFS Unit and requires 30,000 EU to fully charge."
item.itemToolMiningLaser.*.1,Mining Laser,"The Mining Laser is a powerful high-tech tool with a variety of applications. It can be used as an insta-mining tool with a relatively low EU consumption, as well as a high-power AoE block remover, or even as a weapon. All blocks destroyed by the Laser are dropped, with the exception of non-drop blocks like Glass or Leaves. However, due to the destructive nature of the Laser, there is a chance that the block will be destroyed and not drop anything. IndustrialCraft machines drop a Machine block, as if they were destroyed by a pickaxe. As of 1.337, the Mining Laser can use energy from a LapPack.  

The Mining Laser has 5 different modes. These modes can be switched by holding the M key and right-clicking.  It can be recharged in an MFE Unit or an MFS Unit."
item.itemReactorPlating.*.1,Integrated Reactor Plating,"The Integrated Reactor Plating is a major component in creating and managing Nuclear Reactors. If placed into the Reactor Grid, it has the ability to instantly redistribute the heat evenly between neighbouring Cooling Cells or other plating. Heat distrubed to a second plating cannot be futher distributed to a third plating even if one is availible. If there are no components cool enough, it will store heat in itself, up to 10.000. The Plating does not cool very well, at a rate of -0.1 heat/tick.

Aside from that, every piece of Integrated Reactor Plating increases the durability of the Reactor Hull by an additional 100 points."
item.itemReactorCooler.*.1,Integrated Heat Disperser,"The Integrated Heat Dispenser is a Nuclear Reactor component that has the ability to redistribute heat from itself either to neighboring components, or to the Reactor Hull. Every tick, the Integrated Heat Dispenser can add or subtract up to 6 heat from surrounding elements, and dispense up to 25 heat to or from the Reactor Hull. The dispenser will attempt to make the heat level within the Reactor Hull, itself and the adjacent cooling components all equal.

The Integrated Heat Dispenser is also a key component in building a Reactor Chamber."
item.itemToolBronzePickaxe.*.1,Bronze Pickaxe,"A pickaxe made of bronze, it has x1.5 the durability of iron tools."
item.itemToolBronzeAxe.*.1,Bronze Axe,"A axe made of bronze, it has x1.5 the durability of iron tools."
item.itemToolBronzeSword.*.1,Bronze Sword,"A sword made of bronze, it has x1.5 the durability of iron tools."
item.itemToolBronzeSpade.*.1,Bronze Shovel,"A shovel made of bronze, it has x1.5 the durability of iron tools."
item.itemToolBronzeHoe.*.1,Bronze Hoe,"A hoe made of bronze, it has x1.5 the durability of iron tools."
item.itemArmorBronzeHelmet.*.1,Bronze Helmet,"A helmet made of bronze, it has x1.5 the durability of iron armour."
item.itemArmorBronzeChestplate.*.1,Bronze Chestplate,"A chestplate made of bronze, it has x1.5 the durability of iron armour."
item.itemArmorBronzeLegs.*.1,Bronze Legs,"Leggings made of bronze, it has x1.5 the durability of iron armour."
item.itemArmorBronzeBoots.*.1,Bronze Boots
item.itemPartCircuit.*.1,Electronic Circuit,"Circuits are used to construct Bat-Packs, Jetpacks, Lapotron Crystals, HV Transformers, Advanced Circuits, Miners, Pumps, Canning Machines, Compressors, Electro Furnaces, Extractors, Macerators, Electrolyzers, Personal Safes, TFBPs, and Tesla Coils. They serve no other purpose.

However, as they are used to craft Advanced Circuits, they are also indirectly used to create Integrated Heat Dispensers, Nuclear Reactors, Electric Jetpacks, and Mass Fabricators."
item.itemPartCircuitAdv.*.1,Advanced Circuit,"Advanced Circuits, like Circuits, are used only in the construction of machines. Advanced Circuits allow for more sophisticated machinery than normal circuits. They are used in the crafting of Integrated Heat Dispensers, Nuclear Reactors, Electric Jetpacks, Mass Fabricators, and TFBPs."
item.itemPartAlloy.*.1,Advanced Alloy,"Placing a Metal Block in a Compressor yields the Advanced Alloy. This useful material can be used in the creation of Reinforced Stone, Reinforced Glass, Composite Armor, an Advanced Machine, and Nuclear Reactors."
